Exam,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average
Total Exam,1.098,1.174,1.159,1.137,1.180,1.137,1.155,1.111,1.132,1.153,1.135,1.147,1.136,1.133,1.121,1.135,1.155,1.118,1.064,1.044,1.088,1.066,1.044,0.894,1.113
ART - DRAWING,0.841,0.992,0.862,0.644,0.562,,,,,,,,,,,,,,,,,,,,0.780
ART - GENERAL,0.846,0.719,0.677,0.668,0.520,,,,,,,,,,,,,,,,,,,,0.686
ART HISTORY,0.542,0.495,0.475,0.394,0.505,0.473,0.520,0.446,0.467,0.402,0.497,0.407,0.386,0.452,0.479,0.458,0.557,0.457,0.456,0.431,0.424,0.415,0.404,0.475,0.459
BIOLOGY,1.166,1.155,1.097,1.086,1.062,0.998,1.020,1.013,0.920,1.032,1.022,0.952,1.019,1.097,1.049,1.032,1.234,1.192,1.223,1.198,1.165,1.089,1.086,0.860,1.074
CALCULUS AB,1.705,1.825,1.661,1.674,1.806,1.531,1.667,1.504,1.453,1.423,1.533,1.466,1.453,1.620,1.435,1.417,1.422,1.323,1.405,1.258,1.421,1.354,1.274,0.971,1.483
CALCULUS BC,2.281,2.227,2.276,2.092,2.177,1.945,2.092,1.857,1.828,1.853,1.863,1.878,1.868,1.865,1.783,1.750,1.834,1.691,1.735,1.648,1.667,1.741,1.707,1.412,1.878
CHEMISTRY,2.345,2.286,2.165,2.019,2.146,2.109,2.216,1.913,2.010,1.951,1.963,1.978,2.218,2.057,2.008,2.002,1.940,2.223,2.232,2.019,1.889,1.841,1.812,1.487,2.035
CHINESE LANGUAGE & CULTURE,,,,,,,,,,,0.764,0.736,0.732,0.738,0.701,0.743,0.738,0.715,0.737,0.737,0.814,0.815,0.763,0.749,0.749
COMP SCI-A,6.118,7.338,8.132,8.482,8.051,7.389,6.386,7.597,6.615,5.800,6.025,5.950,5.406,5.168,5.782,5.346,5.200,4.718,4.253,3.943,3.706,3.576,3.465,3.261,5.738
COMP SCI-AB,9.500,8.758,14.427,9.718,9.412,12.241,9.766,10.830,8.593,10.324,8.006,6.700,7.131,,,,,,,,,,,,9.646
COMPUTER SCIENCE PRINCIPLES,,,,,,,,,,,,,,,,,,,,,2.706,2.357,2.250,1.331,2.161
ECONOMICS - MACRO,2.364,2.378,2.157,2.067,2.118,1.972,2.210,2.195,2.102,2.076,2.040,2.308,2.193,1.984,2.207,2.180,1.998,1.753,1.913,1.792,1.836,1.779,1.771,1.718,2.046
ECONOMICS - MICRO,2.715,2.132,2.278,2.372,2.024,2.163,2.130,2.306,2.487,2.325,2.639,2.549,2.414,2.536,2.392,2.543,2.288,2.168,2.294,2.213,2.167,2.210,2.205,2.022,2.315
ENG LANG/COMP,0.659,0.711,0.740,0.701,0.676,0.702,0.680,0.720,0.708,0.729,0.665,0.692,0.756,0.752,0.712,0.860,0.730,0.812,0.690,0.756,0.664,0.741,0.699,0.645,0.717
ENG LIT/COMP,0.554,0.547,0.547,0.644,0.564,0.616,0.557,0.549,0.561,0.545,0.469,0.508,0.599,0.580,0.553,0.584,0.605,0.493,0.549,0.501,0.529,0.504,0.496,0.553,0.550
ENVIRONMENTAL SCI,,1.713,1.401,1.361,1.417,1.267,1.293,1.397,1.402,1.334,1.459,1.367,1.458,1.444,1.388,1.259,1.368,1.523,1.190,1.364,1.285,1.244,1.080,0.880,1.343
EUROPEAN HIST,1.345,1.240,1.288,1.297,1.332,1.279,1.453,1.180,1.310,1.315,1.142,1.237,1.249,1.242,1.193,1.264,1.135,1.283,1.175,1.062,1.131,1.096,1.117,0.881,1.219
FRENCH LANG,0.519,0.472,0.515,0.547,0.514,0.552,0.544,0.515,0.507,0.475,0.483,0.535,0.512,0.599,0.581,0.523,0.525,0.541,0.564,0.527,0.573,0.500,0.539,0.547,0.530
FRENCH LIT,0.307,0.332,0.312,0.367,0.305,0.355,0.356,0.364,0.318,0.327,0.376,0.355,0.431,,,,,,,,,,,,0.347
GERMAN LANG,0.747,0.943,0.759,0.785,0.891,0.946,0.876,0.742,0.809,0.854,0.910,0.813,0.919,0.804,0.836,0.878,0.878,0.910,0.726,0.850,0.832,0.848,0.851,0.808,0.842
GOVT&POL - COMP,1.499,1.743,1.864,1.571,1.500,1.872,1.690,1.618,1.510,1.463,1.602,1.523,1.386,1.415,1.424,1.425,1.456,1.370,1.656,1.318,1.348,1.245,1.163,0.965,1.484
GOVT&POL - U.S.,1.550,1.351,1.392,1.612,1.518,1.531,1.366,1.406,1.334,1.319,1.262,1.330,1.128,1.117,1.279,1.160,1.129,1.122,0.994,1.147,1.193,1.105,0.925,0.871,1.256
HUMAN GEOGRAPHY,,,,,1.781,1.425,1.325,1.278,1.392,1.146,1.347,1.117,1.338,1.205,1.218,1.335,1.179,1.042,1.053,0.961,0.970,0.887,0.933,0.851,1.189
INTL. ENGLISH LANGUAGE,0.800,1.889,0.875,2.333,1.333,1.400,,,,,,,,,,,,,,,,,,,1.438
ITALIAN LANG,,,,,,,,,,0.594,0.598,0.679,0.751,,,0.606,0.688,0.736,0.830,0.624,0.684,0.637,0.412,0.555,0.646
JAPANESE LANG & CULTURE,,,,,,,,,,,0.929,0.680,0.757,0.824,0.684,0.720,0.742,0.743,0.754,0.829,0.706,0.851,0.806,0.716,0.767
LATIN - LITERATURE**,0.727,0.905,0.881,0.904,0.890,0.693,0.948,1.034,0.810,0.912,0.902,0.989,0.753,,,,,,,,,,,,0.873
LATIN - VERGIL,1.092,1.161,0.938,0.967,0.877,0.948,1.077,1.121,1.000,1.019,1.122,0.957,1.187,1.094,1.105,1.030,1.167,1.161,1.306,1.165,1.379,1.181,1.407,1.045,1.104
MUSIC THEORY,1.267,0.886,1.541,1.247,1.445,1.311,1.511,1.653,1.487,1.613,1.745,1.696,1.627,1.640,1.844,1.799,1.718,1.604,1.648,1.458,1.582,1.483,1.650,1.063,1.522
PHYSICS 1,,,,,,,,,,,,,,,,,,,4.590,4.449,4.742,4.046,4.000,2.355,4.031
PHYSICS 2,,,,,,,,,,,,,,,,,,,3.640,4.207,4.216,4.533,4.200,3.237,4.006
PHYSICS B,4.470,4.601,3.838,3.776,4.203,3.773,3.973,3.853,3.504,3.112,3.309,3.543,3.185,3.701,3.425,3.307,3.581,2.994,,,,,,,3.675
PHYSICS C - E&M,5.474,6.203,5.891,4.561,4.940,5.295,4.720,5.299,5.125,4.813,4.823,4.422,4.641,5.626,5.014,4.988,4.544,4.402,4.451,4.364,4.504,4.067,4.337,3.563,1.000
PHYSICS C - MECH,4.771,5.394,5.253,4.952,5.226,4.663,5.347,4.447,4.353,5.054,4.195,4.520,4.435,4.094,4.068,4.448,4.273,4.116,4.013,4.225,3.530,3.613,3.641,3.064,4.404
PSYCHOLOGY,0.580,0.579,0.346,0.598,0.572,0.543,0.582,0.566,0.563,0.577,0.541,0.543,0.578,0.566,0.577,0.590,0.611,0.546,0.532,0.493,0.495,0.476,0.474,0.468,0.542
RESEARCH,,,,,,,,,,,,,,,,,,,,0.645,0.550,0.559,0.572,0.581,0.582
SEMINAR,,,,,,,,,,,,,,,,,,,0.752,0.524,0.556,0.514,0.488,0.530,0.561
SPANISH LANG,0.462,0.470,0.459,0.471,0.471,0.487,0.482,0.505,0.522,0.512,0.500,0.513,0.516,0.515,0.541,0.542,0.551,0.553,0.524,0.529,0.543,0.514,0.494,0.469,0.506
SPANISH LIT,0.386,0.394,0.328,0.448,0.419,0.349,0.452,0.392,0.409,0.483,0.428,0.394,0.406,0.404,0.450,0.411,0.472,0.547,0.418,0.445,0.394,0.472,0.413,0.399,0.421
STATISTICS,2.905,2.170,2.156,2.125,1.769,1.596,1.690,1.809,1.585,1.866,1.677,1.698,1.528,1.638,1.497,1.391,1.536,1.491,1.470,1.397,1.429,1.482,1.364,1.015,1.679
STUDIO ART - 2D DESIGN,,,,,,0.576,0.556,0.542,0.599,0.558,0.491,0.437,0.399,0.418,0.388,0.358,0.365,0.363,0.335,0.298,0.316,0.305,0.285,0.238,0.412
STUDIO ART - 3D DESIGN,,,,,,0.835,1.061,0.931,1.058,0.970,0.756,0.746,0.697,0.814,0.761,0.808,0.744,0.726,0.729,0.647,0.576,0.591,0.634,0.553,0.770
STUDIO ART - DRAWING,,,,,,0.472,0.563,0.484,0.436,0.436,0.358,0.321,0.295,0.295,0.324,0.275,0.274,0.246,0.212,0.224,0.211,0.197,0.169,0.168,0.314
U.S. HISTORY,1.096,1.221,1.214,1.127,1.285,1.061,1.070,1.092,1.035,1.002,1.091,1.130,1.199,1.076,1.148,1.132,1.146,1.132,1.007,0.921,1.004,1.084,0.991,0.851,1.088
WORLD HISTORY,,,,,,1.589,1.339,1.346,1.265,1.323,1.278,1.298,1.171,1.238,1.234,1.074,1.562,1.182,0.987,1.076,1.073,1.058,1.205,0.831,1.217
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
